SADDR:SPORT            DADDR:DPORT            SEQ          ACK          TOTAL      MAC        IP         TCP       
114.232.92.48:443      10.208.150.159:60266   3379652892   321166559    98         23         6          69        
114.232.92.48:443      10.208.150.159:60268   1762949751   2424369762   111        23         4          83        
114.232.92.48:443      10.208.150.159:60266   3379656988   321166559    212        11         4          196       
114.232.92.48:443      10.208.150.159:60278   3853433920   1622316625   107        19         5          82        
114.232.92.48:443      10.208.150.159:60282   2009445311   1611751681   153        32         2          118       
114.232.92.48:443      10.208.150.159:60282   2009446723   1611751681   475        10         24         440       
114.232.92.48:443      10.208.150.159:60282   2009449407   1611751681   253        21         1          229       
114.232.92.48:443      10.208.150.159:60284   339375495    4171315987   1533       32         4          1496      
114.232.92.48:443      10.208.150.159:60266   3379658223   321167101    117        29         1          86        
114.232.92.48:443      10.208.150.159:60266   3379658510   321167101    478        35         1          441       
114.232.92.48:443      10.208.150.159:60266   3379658868   321167101    138        61         1          74        
114.232.92.48:443      10.208.150.159:60266   3379668752   321167101    177        95         23         58        
114.232.92.48:443      10.208.150.159:60268   1762955082   2424369842   510        69         2          438       
114.232.92.48:443      10.208.150.159:60268   1762955369   2424369842   970        68         1          900       
114.232.92.48:443      10.208.150.159:60268   1762955656   2424369842   1260       72         1          1187      
114.232.92.48:443      10.208.150.159:60278   3853439251   1622316705   1423       92         1          1328      
114.232.92.48:443      10.208.150.159:60278   3853439538   1622316705   1701       93         1          1605      
114.232.92.48:443      10.208.150.159:60278   3853439825   1622316705   1923       96         1          1825      
114.232.92.48:443      10.208.150.159:60278   3853439887   1622316892   979        38         2          939       
114.232.92.48:443      10.208.150.159:60266   3379668802   321167367    107        29         1          76        
114.232.92.48:443      10.208.150.159:60282   2009450642   1611751761   182        55         1          125       
114.232.92.48:443      10.208.150.159:60282   2009450929   1611751761   508        60         1          445       
114.232.92.48:443      10.208.150.159:60282   2009451216   1611751761   667        63         1          602       
114.232.92.48:443      10.208.150.159:60284   339380826    4171316067   763        82         1          679       
114.232.92.48:443      10.208.150.159:60284   339381400    4171316067   1151       112        1          1037      
114.232.92.48:443      10.208.150.159:60284   339381462    4171316254   729        14         1          713       
114.232.92.48:443      10.208.150.159:60266   3379669345   321167491    1000       9          2          988       
114.232.92.48:443      10.208.150.159:60266   3379669846   321167638    1645       1565       3          76        
114.232.92.48:443      10.208.150.159:60266   3379670387   321167638    126        8          3          114       
183.131.87.174:80      10.208.150.159:51966   1898512731   3261828738   1648377    1648285    4          87        
114.232.92.35:443      10.208.150.159:33104   472143468    188056360    162        58         0          103       
114.232.92.35:443      10.208.150.159:33104   472143771    188056360    541        91         1          448       
114.232.92.35:443      10.208.150.159:33104   472144074    188056360    666        92         1          572       
114.232.92.35:443      10.208.150.159:33104   472144136    188056879    40         5          1          32        
114.232.92.35:443      10.208.150.159:33104   472144167    188056879    46         16         0          28        
36.155.132.31:443      10.208.150.159:49738   4141962806   1022603573   43715      43593      4          117       
average time: 47584.527778 ,median time: 510,tail latency: 1701
180.101.50.188:443     10.208.150.159:46848   3740447877   1139058163   121        17         4          100       
180.101.50.242:443     10.208.150.159:41670   2463750201   2206016306   10249      7702       3          2543      
180.101.50.188:443     10.208.150.159:46848   3740453076   1139058289   137        55         2          80        
180.101.50.242:443     10.208.150.159:41652   4291218748   2652760536   2008       1881       22         103       
223.109.81.200:443     10.208.150.159:56612   4215449056   3551529234   153        23         5          125       
223.109.81.200:443     10.208.150.159:56612   4215454222   3551529327   105        19         0          85        
223.109.81.200:443     10.208.150.159:56612   4215454392   3551530268   133        12         4          116       
223.109.81.200:443     10.208.150.159:56612   4215454847   3551530268   295        26         0          268       
223.109.81.200:443     10.208.150.159:56612   4215457234   3551530268   100        26         3          70        
